"1,1004,19,129,whatchamacallit"
"2,1001,10,99,thingamajig"
"3,1004,17,129,whatchamacallit"
"4,1001,9,99,thingamajig"
"5,1003,3,89,gadget"
"6,1002,19,149,gizmo"
"7,1002,30,149,gizmo"
"8,1002,26,149,gizmo"
"9,1001,22,99,thingamajig"
"10,1003,6,89,gadget"
"11,1004,1,129,whatchamacallit"
"12,1004,2,129,whatchamacallit"
"13,1005,5,199,doohickey"
"14,1004,7,129,whatchamacallit"
"15,1002,16,149,gizmo"
"user1@company.com,1,MX,ES"
"user4@domain.com,2,US,EN"
"user5@company.com,3,FR,FR"
"user9@site.org,4,IN,HI"
"user12@service.io,5,CA,EN"
"user17@website.net,6,FR,FR"
"user21@company.com,7,FR,FR"
"user25@company.com,8,FR,FR"
"user27@school.edu,9,MX,ES"
"user31@website.net,10,CA,EN"
"user36@website.net,11,FR,FR"
"user39@domain.com,12,FR,FR"
"user41@company.com,13,MX,ES"
"user45@domain.com,14,IN,HI"
"user48@site.org,15,MX,ES"
"user53@school.edu,16,US,EN"
"user57@school.edu,17,MX,ES"
"user59@website.net,18,IN,HI"
"user64@school.edu,19,US,EN"
"user67@domain.com,20,IN,HI"
"user68@site.org,21,US,EN"
"user71@domain.com,22,MX,ES"
"user74@service.io,23,US,EN"
"user79@website.net,24,MX,ES"
"user81@site.org,25,US,EN"
"user85@service.io,26,IN,HI"
"user89@service.io,27,CA,EN"
"user91@company.com,28,CA,EN"
"user96@site.org,29,MX,ES"
"user99@website.net,30,US,EN"
